order_number,date,price,quantity,product_id,SKU,canceled,"""-S""","""-M""",-L,-XL,-XXL,TEM,TEH,TAM,TAH,CAA,CAS,HOP,HOZ,SHT,SHF,SHR,SHC,COT,COP,TEK,TAK,TEI,TAI,ACC,POL,CAP,JOG,POL,TAP,,Types ,,,,,,,,,
P046785,31/08/2017,108.18,1.00,48,MS270-HOZ-GY-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"MS045-TAH-GY-L,",,,,,,,
P046785,31/08/2017,108.18,1.00,49,MS270-HOZ-GY-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS045-TAH-GY-XL,,,,,,,
P046785,31/08/2017,71.81,1.00,50,MS055-SHT-BW-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS045-TAH-GY-XXL,,,,,,,
P046785,31/08/2017,59.09,1.00,51,MS220-TEK-BK-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,MS015-TEH-GY-S,,,,,,,
P046785,31/08/2017,108.18,1.00,52,MS270-HOZ-GY-XXL,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS015-TEH-GY-M,,,,,,,
P046785,1/09/2017,59.09,1.00,53,MS202-TEK-OL-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,MS015-TEH-GY-L,,,,,,,
P046785,1/09/2017,80.90,1.00,54,MS280-POL-GY-S,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,MS015-TEH-GY-XL,,,,,,,
P046785,1/09/2017,62.72,1.00,55,MS155-SHT-GY-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS015-TEH-GY-XXL,,,,,,,
P046785,1/09/2017,108.18,1.00,56,MS270-HOZ-GY-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS250-SHT-BK-S,,,,,,,
P046785,1/09/2017,53.64,1.00,57,MS135-TAK-BK-XL,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS250-SHT-BK-M,,,,,,,
P046785,2/09/2017,53.63,1.00,58,MS135-TAK-BK-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS250-SHT-BK-L,,,,,,,
P046785,2/09/2017,108.18,1.00,59,MS270-HOZ-GY-S,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS250-SHT-BK-XL,,,,,,,
